Fecha;Prof-3;Prof-2;Prof-1
2024-11-25 01:00:00;14,19;13,44;12,69
2024-11-25 01:30:00;14,16;13,36;12,68
2024-11-25 03:00:00;14,19;13,26;12,66
2024-11-25 03:30:00;14,13;13,23;12,55
2024-11-25 04:00:00;14,06;13,23;12,56
2024-11-25 04:30:00;14,06;13,23;12,54
2024-11-25 05:00:00;14,06;13,2;12,66
2024-11-25 05:30:00;14,03;13,23;12,51
2024-11-25 07:00:00;13,98;13,18;12,26
2024-11-25 07:30:00;13,98;13,02;12,26
2024-11-25 08:00:00;13,98;13,02;12,11
2024-11-25 08:30:00;13,98;13,02;12,21
2024-11-25 09:00:00;14;13,02;12,29
2024-11-25 09:30:00;13,96;13,02;12,59
2024-11-25 10:00:00;13,98;13,02;12,86
2024-11-25 14:30:00;13,98;13,62;14,83
2024-11-25 15:00:00;13,98;13,64;15,03
2024-11-25 17:00:00;14,13;13,85;14,9
2024-11-25 17:30:00;14,21;13,92;14,7
2024-11-25 18:00:00;14,19;14,03;14,55
2024-11-25 18:30:00;14,19;14,05;14,33
2024-11-25 19:00:00;14,19;14,03;14,39
2024-11-25 19:30:00;14,21;14,05;14,41
2024-11-25 20:00:00;14,21;14;14,43
2024-11-25 20:30:00;14,29;14;14,43
2024-11-25 21:00:00;14,26;14,03;14,3
2024-11-25 23:00:00;14,39;13,85;13,08
2024-11-25 23:30:00;14,34;13,85;12,86
